model,n,accuracy,krippendorff_alpha,f1_macro,f1_weighted,f1_micro,mcc,auc_macro,f1_deceptive_discriminatory,f1_improper_charges,f1_improper_process,auc_deceptive_discriminatory,auc_improper_charges,auc_improper_process
Haiku Remapped,99,0.6162,0.4741,0.5703,0.5732,0.6162,0.4579,0.711,0.3415,0.6133,0.7561,0.5985,0.7166,0.8179
Opus Remapped,100,0.65,0.5143,0.6412,0.6431,0.65,0.4773,0.736,0.5574,0.6129,0.7532,0.6742,0.7195,0.8143
Sonnet Remapped,100,0.65,0.4979,0.6252,0.6257,0.65,0.4969,0.7389,0.449,0.6575,0.7692,0.6315,0.7567,0.8286
DeepSeek Temp0 Remapped,100,0.5,0.2783,0.4722,0.4729,0.5,0.2633,0.6256,0.2917,0.5,0.625,0.5499,0.6237,0.7033
DeepSeek Temp0.3 Remapped,100,0.52,0.3638,0.4829,0.4853,0.52,0.3009,0.6387,0.3182,0.4638,0.6667,0.5802,0.5986,0.7374
DeepSeek Temp0.7 Remapped,100,0.48,0.3196,0.4533,0.4554,0.48,0.2346,0.6101,0.3043,0.4384,0.6173,0.5651,0.5697,0.6956
Gemini Flash Lite Remapped,100,0.54,0.3834,0.4762,0.4751,0.54,0.3757,0.6614,0.1622,0.5806,0.6857,0.5441,0.6819,0.7582
Gemini Flash Remapped,100,0.66,0.5425,0.6314,0.6321,0.66,0.5192,0.7478,0.4167,0.6667,0.8108,0.6168,0.7672,0.8593
Gemini Pro Remapped,100,0.59,0.4018,0.5352,0.5359,0.59,0.4236,0.6917,0.2927,0.5797,0.7333,0.5807,0.6921,0.8022
Sonnet New Instruction Labels,100,0.82,0.6606,0.8196,0.8175,0.82,0.7354,0.8656,0.8421,0.8667,0.75,0.8948,0.8976,0.8044
