complaint_id,labeler_name,unfairness_type,justice_violation,severity,created_at
11333660,anthropic__claude-haiku-4-5,,,,2026-04-24T07:44:31.358683+00:00
11343508,anthropic__claude-haiku-4-5,"[""delay""]",procedural,medium,2026-04-25T21:39:26.220717+00:00
11349436,anthropic__claude-haiku-4-5,"[""none_other""]",procedural,medium,2026-04-24T16:35:59.870019+00:00
11352476,anthropic__claude-haiku-4-5,"[""unaware_of_charge""]",procedural,medium,2026-04-24T18:27:04.409405+00:00
11352902,anthropic__claude-haiku-4-5,"[""delay""]",procedural,high,2026-04-24T05:22:17.823177+00:00
11352953,anthropic__claude-haiku-4-5,"[""delay"", ""unethical_collections""]",procedural,high,2026-04-24T08:17:43.089009+00:00
11384698,anthropic__claude-haiku-4-5,,,,2026-04-24T08:17:42.092621+00:00
11385028,anthropic__claude-haiku-4-5,"[""excessive_charge"", ""delay""]",procedural,high,2026-04-24T03:59:06.932497+00:00
11386695,anthropic__claude-haiku-4-5,"[""unaware_of_charge""]",procedural,high,2026-04-24T04:00:06.752250+00:00
11389746,anthropic__claude-haiku-4-5,"[""excessive_charge""]",distributive,high,2026-04-24T17:19:25.624597+00:00
11389752,anthropic__claude-haiku-4-5,"[""delay"", ""unaware_of_charge""]",procedural,high,2026-04-24T08:52:35.384584+00:00
11389795,anthropic__claude-haiku-4-5,,,,2026-04-24T04:23:15.346555+00:00
11391542,anthropic__claude-haiku-4-5,"[""delay"", ""unethical_collections""]",procedural,high,2026-04-24T18:12:46.604684+00:00
11401223,anthropic__claude-haiku-4-5,"[""unaware_of_charge"", ""delay""]",procedural,medium,2026-04-24T03:50:42.634053+00:00
11401851,anthropic__claude-haiku-4-5,,,,2026-04-24T04:27:51.039772+00:00
11410111,anthropic__claude-haiku-4-5,"[""delay""]",procedural,high,2026-04-24T04:35:13.202974+00:00
11411165,anthropic__claude-haiku-4-5,"[""unaware_of_charge"", ""unethical_collections""]",interactional,high,2026-04-24T03:57:54.794524+00:00
11414280,anthropic__claude-haiku-4-5,,,,2026-04-24T03:56:43.044249+00:00
11428232,anthropic__claude-haiku-4-5,"[""unaware_of_charge"", ""delay""]",procedural,high,2026-04-24T03:52:17.579451+00:00
11428519,anthropic__claude-haiku-4-5,,,,2026-04-24T08:51:46.640884+00:00
11433091,anthropic__claude-haiku-4-5,"[""unaware_of_charge"", ""delay""]",procedural,high,2026-04-24T05:22:17.984054+00:00
11437903,anthropic__claude-haiku-4-5,,,,2026-04-24T09:31:33.820679+00:00
11442840,anthropic__claude-haiku-4-5,"[""unaware_of_charge"", ""delay""]",procedural,high,2026-04-24T18:14:16.231901+00:00
