complaint_id,labeler_name,unfairness_type,justice_violation,severity,created_at
11333660,deepseek__chat-temp03,"[""unaware_of_charge"", ""excessive_charge"", ""delay"", ""unethical_collections""]",procedural,high,2026-04-24T15:03:26.210278+00:00
11343508,deepseek__chat-temp03,"[""delay""]",procedural,medium,2026-04-24T15:03:01.383881+00:00
11349436,deepseek__chat-temp03,"[""none_other""]",procedural,medium,2026-04-24T15:03:18.004937+00:00
11352476,deepseek__chat-temp03,"[""none_other""]",procedural,medium,2026-04-24T15:03:39.993712+00:00
11352902,deepseek__chat-temp03,"[""delay""]",procedural,medium,2026-04-24T15:03:12.573281+00:00
11352953,deepseek__chat-temp03,"[""unaware_of_charge"", ""unethical_collections""]",procedural,high,2026-04-24T15:03:28.836893+00:00
11384698,deepseek__chat-temp03,"[""unaware_of_charge"", ""delay""]",interactional,high,2026-04-24T15:02:57.108766+00:00
11385028,deepseek__chat-temp03,"[""unaware_of_charge"", ""delay""]",procedural,medium,2026-04-24T15:02:52.757214+00:00
11386695,deepseek__chat-temp03,"[""unaware_of_charge""]",procedural,high,2026-04-24T15:03:25.888803+00:00
11389746,deepseek__chat-temp03,"[""delay""]",procedural,medium,2026-04-24T15:03:32.595275+00:00
11389752,deepseek__chat-temp03,"[""unaware_of_charge"", ""delay""]",procedural,high,2026-04-24T15:03:32.462043+00:00
11389795,deepseek__chat-temp03,"[""excessive_charge"", ""unaware_of_charge""]",procedural,medium,2026-04-24T15:03:33.890373+00:00
11391542,deepseek__chat-temp03,"[""delay""]",procedural,high,2026-04-24T15:03:35.827139+00:00
11401223,deepseek__chat-temp03,"[""unaware_of_charge"", ""unethical_collections""]",procedural,medium,2026-04-24T15:02:44.023931+00:00
11401851,deepseek__chat-temp03,"[""delay"", ""unethical_collections"", ""none_other""]",procedural,high,2026-04-24T15:03:07.837025+00:00
11410111,deepseek__chat-temp03,"[""delay""]",procedural,medium,2026-04-24T15:03:08.972925+00:00
11411165,deepseek__chat-temp03,"[""unaware_of_charge"", ""unethical_collections""]",interactional,medium,2026-04-24T15:03:23.232551+00:00
11414280,deepseek__chat-temp03,"[""excessive_charge""]",procedural,medium,2026-04-24T15:02:50.124450+00:00
11428232,deepseek__chat-temp03,"[""none_other""]",procedural,medium,2026-04-24T15:02:45.288422+00:00
11428519,deepseek__chat-temp03,"[""delay""]",procedural,medium,2026-04-24T15:03:31.109171+00:00
11433091,deepseek__chat-temp03,"[""unaware_of_charge"", ""delay""]",procedural,high,2026-04-24T15:02:42.742182+00:00
11437903,deepseek__chat-temp03,"[""unaware_of_charge"", ""delay""]",procedural,high,2026-04-24T15:03:07.310393+00:00
11442840,deepseek__chat-temp03,"[""unaware_of_charge"", ""excessive_charge""]",procedural,medium,2026-04-24T15:03:34.605973+00:00
11450037,deepseek__chat-temp03,"[""delay"", ""unaware_of_charge""]",procedural,medium,2026-04-24T15:02:55.341803+00:00
11452854,deepseek__chat-temp03,"[""delay"", ""none_other""]",procedural,high,2026-04-24T15:03:25.125154+00:00
11455052,deepseek__chat-temp03,"[""unaware_of_charge"", ""delay""]",procedural,medium,2026-04-24T15:02:39.127103+00:00
11455678,deepseek__chat-temp03,"[""delay""]",procedural,medium,2026-04-24T15:02:53.270729+00:00
11465631,deepseek__chat-temp03,"[""none_other""]",procedural,medium,2026-04-24T15:03:13.915823+00:00
11466371,deepseek__chat-temp03,"[""delay""]",procedural,medium,2026-04-24T15:02:48.581496+00:00
11466600,deepseek__chat-temp03,"[""delay""]",procedural,medium,2026-04-24T15:02:49.694161+00:00
11468296,deepseek__chat-temp03,"[""unaware_of_charge""]",procedural,medium,2026-04-24T15:03:04.945236+00:00
