complaint_id,labeler_name,unfairness_type,justice_violation,severity,created_at
11333660,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""unethical_collections""]",procedural,high,2026-04-25T18:58:56.306272+00:00
11343508,google__gemini-2.5-flash-lite,"[""delay""]",procedural,low,2026-04-25T18:58:44.508762+00:00
11349436,google__gemini-2.5-flash-lite,"[""none_other""]",procedural,medium,2026-04-25T18:58:48.105796+00:00
11352476,google__gemini-2.5-flash-lite,"[""none_other""]",procedural,medium,2026-04-25T18:58:46.546307+00:00
11352902,google__gemini-2.5-flash-lite,"[""unaware_of_charge""]",procedural,medium,2026-04-25T18:58:48.988686+00:00
11352953,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""delay""]",procedural,high,2026-04-25T18:58:57.610409+00:00
11384698,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""delay""]",interactional,high,2026-04-25T18:58:58.870224+00:00
11385028,google__gemini-2.5-flash-lite,"[""delay"", ""unaware_of_charge""]",procedural,medium,2026-04-25T18:58:39.510436+00:00
11386695,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""none_other""]",distributive,high,2026-04-25T18:58:41.566499+00:00
11389746,google__gemini-2.5-flash-lite,"[""excessive_charge"", ""delay""]",procedural,medium,2026-04-25T18:58:59.697463+00:00
11389752,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""delay""]",procedural,high,2026-04-25T18:58:41.710207+00:00
11389795,google__gemini-2.5-flash-lite,"[""excessive_charge""]",distributive,high,2026-04-25T18:58:45.867595+00:00
11391542,google__gemini-2.5-flash-lite,"[""delay"", ""unaware_of_charge""]",procedural,high,2026-04-25T18:58:44.165660+00:00
11401223,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""delay""]",procedural,medium,2026-04-25T18:58:47.067051+00:00
11401851,google__gemini-2.5-flash-lite,"[""delay"", ""unaware_of_charge""]",procedural,high,2026-04-25T18:58:32.853597+00:00
11410111,google__gemini-2.5-flash-lite,"[""delay"", ""unaware_of_charge""]",procedural,high,2026-04-25T18:58:47.335432+00:00
11411165,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""unethical_collections""]",interactional,medium,2026-04-25T18:58:57.993165+00:00
11414280,google__gemini-2.5-flash-lite,"[""excessive_charge""]",distributive,medium,2026-04-25T18:58:39.730465+00:00
11428232,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""none_other""]",procedural,medium,2026-04-25T18:58:36.083517+00:00
11428519,google__gemini-2.5-flash-lite,"[""delay""]",procedural,high,2026-04-25T18:58:58.531957+00:00
11433091,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""delay""]",procedural,high,2026-04-25T18:58:51.569579+00:00
11437903,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""delay""]",procedural,high,2026-04-25T18:58:47.669892+00:00
11442840,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""excessive_charge""]",procedural,medium,2026-04-25T18:58:58.354025+00:00
11450037,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""delay""]",procedural,high,2026-04-25T18:58:34.745020+00:00
11452854,google__gemini-2.5-flash-lite,"[""delay""]",procedural,medium,2026-04-25T18:58:39.045719+00:00
11455052,google__gemini-2.5-flash-lite,"[""delay"", ""unaware_of_charge""]",procedural,high,2026-04-25T18:58:52.177197+00:00
11455678,google__gemini-2.5-flash-lite,"[""delay""]",procedural,medium,2026-04-25T18:58:37.537032+00:00
11465631,google__gemini-2.5-flash-lite,"[""delay""]",procedural,medium,2026-04-25T18:58:49.169694+00:00
11466371,google__gemini-2.5-flash-lite,"[""delay"", ""unaware_of_charge""]",procedural,medium,2026-04-25T18:58:37.224971+00:00
11466600,google__gemini-2.5-flash-lite,"[""unaware_of_charge""]",procedural,high,2026-04-25T18:58:37.542715+00:00
11468296,google__gemini-2.5-flash-lite,"[""unaware_of_charge""]",distributive,medium,2026-04-25T18:58:39.581968+00:00
11471832,google__gemini-2.5-flash-lite,"[""excessive_charge""]",procedural,high,2026-04-25T18:59:01.080508+00:00
11472493,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""excessive_charge""]",distributive,medium,2026-04-25T18:59:01.482320+00:00
11479617,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""excessive_charge""]",procedural,medium,2026-04-25T18:58:36.385494+00:00
11498537,google__gemini-2.5-flash-lite,"[""unaware_of_charge""]",procedural,medium,2026-04-25T18:58:32.182000+00:00
11503359,google__gemini-2.5-flash-lite,"[""delay""]",procedural,medium,2026-04-25T18:58:56.306555+00:00
11519020,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""delay""]",procedural,high,2026-04-25T18:58:51.506085+00:00
11522131,google__gemini-2.5-flash-lite,"[""delay""]",procedural,high,2026-04-24T15:13:52.750559+00:00
11551907,google__gemini-2.5-flash-lite,"[""delay""]",procedural,high,2026-04-25T18:59:03.037723+00:00
11575022,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""delay""]",procedural,medium,2026-04-25T18:58:37.966842+00:00
11593109,google__gemini-2.5-flash-lite,"[""none_other""]",distributive,medium,2026-04-25T18:58:41.375714+00:00
11596070,google__gemini-2.5-flash-lite,"[""delay"", ""unaware_of_charge""]",procedural,medium,2026-04-25T18:58:38.825825+00:00
11601734,google__gemini-2.5-flash-lite,"[""delay""]",procedural,medium,2026-04-25T18:58:51.661158+00:00
11634807,google__gemini-2.5-flash-lite,"[""unaware_of_charge""]",distributive,medium,2026-04-25T18:58:48.149127+00:00
11638311,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""excessive_charge""]",interactional,medium,2026-04-25T18:58:36.958569+00:00
11651442,google__gemini-2.5-flash-lite,"[""none_other""]",procedural,medium,2026-04-25T18:58:38.939277+00:00
11653905,google__gemini-2.5-flash-lite,"[""delay"", ""unaware_of_charge""]",distributive,high,2026-04-25T18:58:38.804331+00:00
11682130,google__gemini-2.5-flash-lite,"[""unaware_of_charge""]",distributive,medium,2026-04-25T18:58:38.515012+00:00
11685621,google__gemini-2.5-flash-lite,"[""delay""]",procedural,medium,2026-04-25T18:58:41.778357+00:00
11691460,google__gemini-2.5-flash-lite,"[""delay""]",procedural,high,2026-04-25T18:58:57.013009+00:00
11706286,google__gemini-2.5-flash-lite,"[""delay""]",procedural,medium,2026-04-25T18:58:42.655432+00:00
11707658,google__gemini-2.5-flash-lite,"[""delay"", ""unaware_of_charge""]",procedural,high,2026-04-25T18:58:44.795934+00:00
11716590,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""excessive_charge""]",procedural,high,2026-04-25T18:58:46.799110+00:00
11718118,google__gemini-2.5-flash-lite,"[""delay""]",procedural,high,2026-04-25T18:58:56.523050+00:00
11720286,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""excessive_charge""]",procedural,high,2026-04-25T18:58:48.645762+00:00
11720589,google__gemini-2.5-flash-lite,"[""delay""]",procedural,high,2026-04-25T18:58:54.791778+00:00
11727292,google__gemini-2.5-flash-lite,"[""unaware_of_charge""]",procedural,high,2026-04-25T18:59:00.275113+00:00
11731528,google__gemini-2.5-flash-lite,"[""none_other""]",procedural,high,2026-04-25T18:58:56.510347+00:00
11742198,google__gemini-2.5-flash-lite,"[""delay""]",procedural,medium,2026-04-25T18:58:46.503940+00:00
11742235,google__gemini-2.5-flash-lite,"[""delay""]",procedural,high,2026-04-25T18:58:56.123903+00:00
11767791,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""excessive_charge""]",distributive,high,2026-04-25T18:58:58.928757+00:00
11774684,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""excessive_charge""]",distributive,medium,2026-04-25T18:58:44.691800+00:00
11791676,google__gemini-2.5-flash-lite,"[""delay"", ""unaware_of_charge""]",procedural,medium,2026-04-25T18:58:47.646865+00:00
11796802,google__gemini-2.5-flash-lite,"[""delay""]",procedural,medium,2026-04-25T18:58:53.188815+00:00
11802320,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""none_other""]",interactional,high,2026-04-24T15:13:52.772344+00:00
11809341,google__gemini-2.5-flash-lite,"[""delay"", ""excessive_charge""]",procedural,medium,2026-04-25T18:58:49.434177+00:00
11822134,google__gemini-2.5-flash-lite,"[""delay""]",procedural,medium,2026-04-25T18:58:38.091745+00:00
11823240,google__gemini-2.5-flash-lite,"[""delay""]",procedural,high,2026-04-25T18:58:42.063945+00:00
11824367,google__gemini-2.5-flash-lite,"[""unaware_of_charge""]",procedural,medium,2026-04-25T18:58:55.943645+00:00
11826614,google__gemini-2.5-flash-lite,"[""delay"", ""unaware_of_charge""]",procedural,high,2026-04-25T18:58:57.597964+00:00
11832565,google__gemini-2.5-flash-lite,"[""none_other""]",distributive,medium,2026-04-25T18:59:00.020812+00:00
11848481,google__gemini-2.5-flash-lite,"[""none_other""]",procedural,medium,2026-04-25T18:58:50.976812+00:00
11856132,google__gemini-2.5-flash-lite,"[""delay"", ""excessive_charge""]",procedural,medium,2026-04-24T15:13:52.750321+00:00
11868297,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""excessive_charge""]",distributive,high,2026-04-25T18:59:01.210169+00:00
11869185,google__gemini-2.5-flash-lite,"[""delay"", ""unaware_of_charge""]",procedural,medium,2026-04-25T18:58:32.364411+00:00
11870784,google__gemini-2.5-flash-lite,"[""none_other""]",distributive,high,2026-04-25T18:58:32.982582+00:00
11871327,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""excessive_charge""]",procedural,high,2026-04-25T18:58:56.064330+00:00
11874614,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""excessive_charge""]",distributive,high,2026-04-25T18:58:39.623320+00:00
11889682,google__gemini-2.5-flash-lite,"[""unaware_of_charge""]",procedural,medium,2026-04-25T18:58:34.744562+00:00
11893799,google__gemini-2.5-flash-lite,"[""delay""]",procedural,high,2026-04-25T18:59:02.828621+00:00
11911670,google__gemini-2.5-flash-lite,"[""delay"", ""none_other""]",procedural,medium,2026-04-25T18:58:36.304005+00:00
11913076,google__gemini-2.5-flash-lite,"[""delay"", ""unaware_of_charge""]",procedural,high,2026-04-25T18:58:46.820803+00:00
11914519,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""excessive_charge""]",procedural,medium,2026-04-25T18:58:41.286571+00:00
11916711,google__gemini-2.5-flash-lite,"[""delay""]",procedural,medium,2026-04-25T18:58:52.857097+00:00
11924703,google__gemini-2.5-flash-lite,"[""unaware_of_charge""]",procedural,high,2026-04-25T18:58:56.503055+00:00
11930190,google__gemini-2.5-flash-lite,"[""delay"", ""unaware_of_charge""]",procedural,high,2026-04-25T18:58:37.967146+00:00
11931735,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""unethical_collections""]",procedural,medium,2026-04-25T18:59:00.204962+00:00
11941304,google__gemini-2.5-flash-lite,"[""delay""]",procedural,medium,2026-04-25T18:58:42.082110+00:00
11944490,google__gemini-2.5-flash-lite,"[""delay"", ""unaware_of_charge""]",procedural,high,2026-04-25T18:58:35.426325+00:00
11951733,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""delay""]",procedural,high,2026-04-25T18:58:59.761980+00:00
11964312,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""excessive_charge""]",procedural,high,2026-04-25T18:58:46.419061+00:00
11966657,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""excessive_charge""]",procedural,medium,2026-04-25T18:58:48.781683+00:00
11972763,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""delay""]",procedural,high,2026-04-25T18:59:03.602499+00:00
11976040,google__gemini-2.5-flash-lite,"[""delay""]",procedural,high,2026-04-24T15:16:06.665988+00:00
11976464,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""delay""]",procedural,high,2026-04-25T18:58:38.920530+00:00
11981359,google__gemini-2.5-flash-lite,"[""delay""]",procedural,medium,2026-04-25T18:58:48.646153+00:00
11994823,google__gemini-2.5-flash-lite,"[""delay""]",procedural,medium,2026-04-25T18:58:56.901154+00:00
12000232,google__gemini-2.5-flash-lite,"[""delay"", ""excessive_charge""]",procedural,high,2026-04-25T18:58:57.900386+00:00
12003464,google__gemini-2.5-flash-lite,"[""delay"", ""unaware_of_charge""]",procedural,high,2026-04-25T18:58:51.016118+00:00
12013129,google__gemini-2.5-flash-lite,"[""delay""]",procedural,medium,2026-04-25T18:58:48.105346+00:00
12017829,google__gemini-2.5-flash-lite,"[""delay""]",procedural,high,2026-04-25T18:58:49.527323+00:00
12019568,google__gemini-2.5-flash-lite,"[""excessive_charge"", ""unaware_of_charge""]",procedural,high,2026-04-25T18:59:00.421185+00:00
12019692,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""excessive_charge""]",procedural,low,2026-04-25T18:58:34.983369+00:00
12021298,google__gemini-2.5-flash-lite,"[""unaware_of_charge""]",procedural,medium,2026-04-25T18:58:48.117594+00:00
12022499,google__gemini-2.5-flash-lite,"[""unaware_of_charge""]",distributive,medium,2026-04-25T18:58:59.928999+00:00
12023953,google__gemini-2.5-flash-lite,"[""excessive_charge""]",distributive,medium,2026-04-25T18:58:40.842423+00:00
12028578,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""delay""]",procedural,high,2026-04-25T18:58:42.090051+00:00
12038412,google__gemini-2.5-flash-lite,"[""delay""]",procedural,high,2026-04-25T18:58:52.348890+00:00
12051412,google__gemini-2.5-flash-lite,"[""unaware_of_charge"", ""excessive_charge""]",distributive,high,2026-04-25T18:58:52.904113+00:00
